ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
72,111254,STOCKS,APTECHT,STOCK_APTECHT_MSE.CM.BE,STOCK,N/A,0,N/A,APTECHT,1,,1,5,18000.0,4500.0,0.0,0.0,98.0,0.0,98.0,0,99.0,INE266F01018,BE
73,101768,STOCKS,ARCHIES,STOCK_ARCHIES_MSE.CM.EQ,STOCK,N/A,0,N/A,ARCHIES,1,,1,5,2295.0,1535.0,0.0,0.0,18.4,0.0,18.4,0,18.75,INE731A01020,EQ
74,107732,STOCKS,ARCHIES,STOCK_ARCHIES_MSE.CM.BE,STOCK,N/A,0,N/A,ARCHIES,1,,1,5,3035.0,2025.0,0.0,0.0,18.4,0.0,18.4,0,18.75,INE731A01020,BE
75,101772,STOCKS,ARIES,STOCK_ARIES_MSE.CM.EQ,STOCK,N/A,0,N/A,ARIES,1,,1,5,36640.0,24430.0,0.0,0.0,318.75,0.0,318.75,0,318.25,INE298I01015,EQ
76,107406,STOCKS,ARIES,STOCK_ARIES_MSE.CM.BE,STOCK,N/A,0,N/A,ARIES,1,,1,5,30185.0,20125.0,0.0,0.0,318.75,0.0,318.75,0,318.25,INE298I01015,BE
77,101776,STOCKS,ARSHIYA,STOCK_ARSHIYA_MSE.CM.EQ,STOCK,N/A,0,N/A,ARSHIYA,1,,1,5,700.0,640.0,0.0,0.0,1.35,0.0,1.35,0,1.35,INE968D01022,EQ
78,110665,STOCKS,ARSHIYA,STOCK_ARSHIYA_MSE.CM.BZ,STOCK,N/A,0,N/A,ARSHIYA,1,,1,5,295.0,275.0,0.0,0.0,1.35,0.0,1.35,0,1.35,INE968D01022,BZ
79,104665,STOCKS,ARSHIYA,STOCK_ARSHIYA_MSE.CM.BE,STOCK,N/A,0,N/A,ARSHIYA,1,,1,5,350.0,320.0,0.0,0.0,1.35,0.0,1.35,0,1.35,INE968D01022,BE
80,101781,STOCKS,ARVIND,STOCK_ARVIND_MSE.CM.EQ,STOCK,N/A,0,N/A,ARVIND,1,,1,5,42550.0,28370.0,0.0,0.0,325.25,0.0,325.25,0,323.55,INE034A01011,EQ
81,101787,STOCKS,ASAHIINDIA,STOCK_ASAHIINDIA_MSE.CM.EQ,STOCK,N/A,0,N/A,ASAHIINDIA,1,,1,5,87430.0,58290.0,0.0,0.0,998.8,0.0,998.8,0,994.2,INE439A01020,EQ
82,101791,STOCKS,ASAHISONG,STOCK_ASAHISONG_MSE.CM.EQ,STOCK,N/A,0,N/A,ASAHISONG,1,,1,5,47545.0,43025.0,0.0,0.0,247.0,0.0,247.0,0,246.15,INE228I01012,EQ
83,105025,STOCKS,ASAHISONG,STOCK_ASAHISONG_MSE.CM.BE,STOCK,N/A,0,N/A,ASAHISONG,1,,1,5,45745.0,41395.0,0.0,0.0,247.0,0.0,247.0,0,246.15,INE228I01012,BE
84,101793,STOCKS,ASAL,STOCK_ASAL_MSE.CM.EQ,STOCK,N/A,0,N/A,ASAL,1,,1,5,59940.0,39960.0,0.0,0.0,495.4,0.0,495.4,0,498.7,INE900C01027,EQ
85,104716,STOCKS,ASAL,STOCK_ASAL_MSE.CM.BE,STOCK,N/A,0,N/A,ASAL,1,,1,5,44255.0,29505.0,0.0,0.0,495.4,0.0,495.4,0,498.7,INE900C01027,BE
