TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTCEM,EQ,,,,,,0.00,0.00,0.00,172.25,0.00,175.05,,172.25,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTCER,EQ,,,,,,0.00,0.00,0.00,50.90,0.00,51.75,,50.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTELEC,EQ,,,,,,0.00,0.00,0.00,174.40,0.00,176.10,,174.40,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTHOT,EQ,,,,,,0.00,0.00,0.00,108.60,0.00,108.55,,108.60,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTLTD,EQ,,,,,,0.00,0.00,0.00,75.50,0.00,76.35,,75.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTPPR,EQ,,,,,,0.00,0.00,0.00,23.10,0.00,22.65,,23.10,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTTECH,EQ,,,,,,0.00,0.00,0.00,432.85,0.00,440.90,,432.85,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIENTTR,EQ,,,,,,0.00,0.00,0.00,19.05,0.00,19.20,,19.05,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORIRAIL,EQ,,,,,,0.00,0.00,0.00,158.95,0.00,164.10,,158.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORISSAMINE,EQ,,,,,,0.00,0.00,0.00,5040.00,0.00,5044.50,,5040.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORKLAINDIA,EQ,,,,,,0.00,0.00,0.00,616.45,0.00,617.45,,616.45,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORTEL,BZ,,,,,,0.00,0.00,0.00,1.45,0.00,1.45,,1.45,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ORTINGLOBE,BE,,,,,,0.00,0.00,0.00,13.40,0.00,14.10,,13.40,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OSIAHYPER,EQ,,,,,,0.00,0.00,0.00,14.95,0.00,15.10,,14.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OSWALAGRO,EQ,,,,,,0.00,0.00,0.00,58.40,0.00,58.70,,58.40,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OSWALGREEN,EQ,,,,,,0.00,0.00,0.00,33.15,0.00,33.70,,33.15,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OSWALMIN,BE,,,,,,0.00,0.00,0.00,28.90,0.00,28.90,,28.90,,,0,0.00,0,F1,1,,,,,
